Benchmarks 	IPC	TotStalls	INS	RBL 	AVGEMF 	DRAM-Util 	R0 	R1 	R2 	R3 	R4 	R5 	R6 	R7 	R8 	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-Miss-Rate-2	L2-Miss-Rate	Avg-Slack-1	Avg-Occupancy-1	Avg-Slack-2	Avg-Occupancy-2	L2-AC-1	L2-AC-2	
SAD 	602.5986 	6610134 	100000022 	15.945868 	248 	0.0564333333333333 	0.000 	0.000 	0.000 	0.006 	0.000 	0.019 	0.012 	0.000 	0.963 	0.0563333333333333 	0 	0.119666666666667 	0.823833333333333 	0.602 	-nan 	0.602 	0.980 	16.000 	0.000 	0.000 	13366 	0 	
BP 	493.3923 	8038132 	100000252 	28.190233 	319 	0.165133333333333 	0.000 	0.000 	0.000 	0.000 	0.005 	0.005 	0.010 	0.766 	0.213 	0.165 	0 	0.403666666666667 	0.431166666666667 	0.936 	-nan 	0.936 	0.857 	31.985 	0.000 	0.000 	42483 	0 	
BLK 	419.2954 	11182350 	100000288 	5.045534 	646 	0.6757 	0.000 	0.000 	0.095 	0.651 	0.224 	0.026 	0.000 	0.000 	0.004 	0.675833333333333 	0 	0.312666666666667 	0.0118333333333333 	0.999 	-nan 	0.999 	0.340 	16.000 	0.000 	0.000 	159856 	0 	
CONS 	446.7903 	10280306 	100000160 	22.323694 	238 	0.43515 	0.000 	0.005 	0.000 	0.014 	0.023 	0.234 	0.697 	0.018 	0.009 	0.435166666666667 	0 	0.389333333333333 	0.175666666666667 	0.639 	-nan 	0.639 	0.649 	15.986 	0.000 	0.000 	99579 	0 	
SCAN 	164.3528 	21826566 	100000276 	6.501761 	740 	0.449866666666667 	0.000 	0.320 	0.128 	0.163 	0.184 	0.130 	0.051 	0.024 	0.002 	0.449833333333333 	0 	0.2455 	0.304666666666667 	0.819 	-nan 	0.819 	0.301 	16.535 	0.000 	0.000 	271638 	0 	
MUM 	36.8168 	122383321 	85637864 	1.235414 	376 	0.7974 	0.000 	0.001 	0.004 	0.005 	0.085 	0.440 	0.424 	0.042 	0.000 	0.797333333333333 	0 	0.194 	0.009 	0.838 	-nan 	0.838 	0.612 	15.578 	0.000 	0.000 	1937414 	0 	
BFS2 	22.1824 	29960962 	13371478 	5.145764 	385 	0.116183333333333 	0.000 	0.077 	0.177 	0.648 	0.072 	0.019 	0.005 	0.002 	0.000 	0.116333333333333 	0 	0.358166666666667 	0.525833333333333 	0.087 	-nan 	0.087 	0.301 	30.109 	0.000 	0.000 	70398 	0 	
NN 	37.0277 	82649127 	78350706 	4.367242 	142 	0.0033585 	0.000 	0.001 	0.000 	0.004 	0.005 	0.015 	0.010 	0.076 	0.890 	0.003 	0 	0.0106666666666667 	0.986 	0.058 	-nan 	0.058 	0.899 	7.960 	0.000 	0.000 	9695 	0 	
MM 	416.6416 	11270317 	100000224 	14.412395 	235 	0.05089 	0.000 	0.000 	0.009 	0.004 	0.103 	0.521 	0.363 	0.000 	0.000 	0.0506666666666667 	0 	0.0318333333333333 	0.917333333333333 	0.852 	-nan 	0.852 	0.584 	8.000 	0.000 	0.000 	45321 	0 	
QTC 	20.4114 	279848108 	100000021 	1.118492 	245 	0.153 	0.000 	0.002 	0.023 	0.003 	0.001 	0.001 	0.292 	0.677 	0.000 	0.153 	0 	0.451666666666667 	0.395333333333333 	0.540 	-nan 	0.540 	0.747 	8.174 	0.000 	0.000 	794323 	0 	
LUH 	80.7743 	69226953 	100000325 	5.728067 	804 	0.355533333333333 	0.000 	0.270 	0.116 	0.122 	0.093 	0.082 	0.183 	0.127 	0.008 	0.3555 	0 	0.238333333333333 	0.405833333333333 	0.847 	-nan 	0.847 	0.402 	10.597 	0.000 	0.000 	470342 	0 	
LIB 	223.3576 	10303438 	100000096 	2.234932 	636 	0.253516666666667 	0.000 	0.002 	0.037 	0.071 	0.080 	0.808 	0.002 	0.000 	0.000 	0.2535 	0 	0.5465 	0.2 	0.994 	-nan 	0.994 	0.483 	8.000 	0.000 	0.000 	112434 	0 	
RAY 	246.1917 	12798889 	62682608 	3.278865 	319 	0.0178516666666667 	0.000 	0.016 	0.000 	0.040 	0.020 	0.105 	0.714 	0.101 	0.004 	0.018 	0 	0.294 	0.688 	0.138 	-nan 	0.138 	0.655 	7.984 	0.000 	0.000 	5643 	0 	
HISTO 	318.0494 	13914373 	100000132 	3.234051 	256 	0.187633333333333 	0.000 	0.000 	0.000 	0.003 	0.003 	0.000 	0.974 	0.020 	0.000 	0.187833333333333 	0 	0.267 	0.545166666666667 	0.998 	-nan 	0.998 	0.707 	12.000 	0.000 	0.000 	58453 	0 	
3DS 	431.2197 	10517305 	100000288 	3.225190 	214 	0.422816666666667 	0.000 	0.013 	0.004 	0.482 	0.496 	0.000 	0.004 	0.000 	0.000 	0.422833333333333 	0 	0.451333333333333 	0.125833333333333 	0.490 	-nan 	0.490 	0.371 	16.000 	0.000 	0.000 	101783 	0 	
JPEG 	272.1536 	1301504 	7569408 	18.874569 	394 	0.298166666666667 	0.000 	0.148 	0.222 	0.148 	0.148 	0.111 	0.037 	0.148 	0.037 	0.298333333333333 	0 	0.412 	0.289833333333333 	0.977 	-nan 	0.977 	0.411 	13.037 	0.000 	0.000 	8264 	0 	
TRD 	220.8619 	18717918 	100000096 	22.692677 	348 	0.0137166666666667 	0.000 	0.042 	0.257 	0.678 	0.023 	0.000 	0.000 	0.000 	0.000 	0.014 	0 	0.424833333333333 	0.561833333333333 	0.019 	-nan 	0.019 	0.259 	28.367 	0.000 	0.000 	6156 	0 	
CFD 	116.8563 	47681159 	100000110 	5.386153 	479 	0.2723 	0.000 	0.030 	0.122 	0.381 	0.337 	0.061 	0.030 	0.024 	0.016 	0.272333333333333 	0 	0.3605 	0.3675 	0.265 	-nan 	0.265 	0.378 	12.344 	0.000 	0.000 	231758 	0 	
SRAD 	233.0416 	18572246 	100000480 	17.741049 	500 	0.36435 	0.000 	0.290 	0.221 	0.089 	0.048 	0.074 	0.106 	0.065 	0.108 	0.364 	0 	0.303833333333333 	0.331666666666667 	0.861 	-nan 	0.861 	0.381 	22.921 	0.000 	0.000 	156371 	0 	
NW 	32.3003 	86525914 	100000139 	1.531276 	612 	0.16685 	0.000 	0.123 	0.202 	0.101 	0.112 	0.135 	0.061 	0.042 	0.224 	0.167 	0 	0.224 	0.609 	0.970 	-nan 	0.970 	0.491 	4.012 	0.000 	0.000 	511517 	0 	
HS 	267.0389 	18609356 	100000193 	64.961540 	186 	0.0608833333333333 	0.000 	0.000 	0.000 	0.008 	0.014 	0.016 	0.458 	0.485 	0.019 	0.061 	0 	0.0763333333333333 	0.862833333333333 	0.420 	-nan 	0.420 	0.744 	7.997 	0.000 	0.000 	39491 	0 	
SCP 	318.6317 	3113264 	24441600 	1.981155 	394 	0.863233333333333 	0.000 	0.095 	0.676 	0.135 	0.068 	0.027 	0.000 	0.000 	0.000 	0.863 	0 	0.0763333333333333 	0.0605 	0.999 	-nan 	0.999 	0.219 	22.189 	0.000 	0.000 	65576 	0 	
FWT 	207.2659 	25823234 	100000000 	22.794210 	497 	0.451216666666667 	0.000 	0.068 	0.890 	0.040 	0.002 	0.000 	0.000 	0.000 	0.000 	0.451 	0 	0.546 	0.00266666666666667 	1.000 	-nan 	1.000 	0.179 	15.996 	0.000 	0.000 	215572 	0 	
